Canonical Object ID,Title,Brand / Promoter,Date Text,Object Type,Source Occurrence Count,Member Record IDs,Duplicate Group,Canonical Decision,Confidence,Rights Code,Research Status,Object URL
OBJ-0001,1996 GT/Dyno — The BMX & Freestyle Catalog,GT; Dyno,1996,Catalog,2,EPH-0001 | EPH-0018,DUP-GTD-1996,MERGE identity; preserve source occurrence,MEDIUM,INDEX-ONLY,Lead — locate exact reference ID and edition/page count.,https://article134-tech.github.io/lititzbmx-public-knowledge-register/objects/index.html#OBJ-0001
OBJ-0002,1992 GT/Dyno Product Catalog,GT; Dyno,1992,Catalog,2,EPH-0002 | EPH-0017,DUP-GTD-1992,MERGE identity; preserve source occurrence,MEDIUM,INDEX-ONLY,Lead — locate exact reference and compare with independent catalog archives.,https://article134-tech.github.io/lititzbmx-public-knowledge-register/objects/index.html#OBJ-0002
OBJ-0003,1999 GT/Dyno BMX/Freestyle — Part 2,GT; Dyno,1999,Catalog,2,EPH-0003 | EPH-0019,DUP-GTD-1999-P2,MERGE identity; preserve source occurrence,LOW-MEDIUM,INDEX-ONLY,"Lead — locate part 1, exact reference IDs and page ranges.",https://article134-tech.github.io/lititzbmx-public-knowledge-register/objects/index.html#OBJ-0003
OBJ-0004,1990 Haro BMX Catalog,Haro,1990,Catalog,2,EPH-0004 | EPH-0023,DUP-HARO-1990-CAT,MERGE identity; preserve source occurrence,LOW-MEDIUM,INDEX-ONLY,Verified catalog existence — recover exact BMXMuseum ID and compare editions/pages.,https://article134-tech.github.io/lititzbmx-public-knowledge-register/objects/index.html#OBJ-0004
OBJ-0005,1987 Dia-Compe 182 Aerial Brake Lever,Dia-Compe,1987,Product literature,1,EPH-0005,,RETAIN — unique source record,MEDIUM,INDEX-ONLY,"Lead — identify publication, page and exact BMXMuseum reference.",https://article134-tech.github.io/lititzbmx-public-knowledge-register/objects/index.html#OBJ-0005
OBJ-0006,Ashtabula component catalog,Ashtabula,circa 1977 (unverified),Catalog,2,EPH-0006 | EPH-0031,DUP-ASHT-5027,MERGE identity; preserve source occurrence,HIGH for object; MEDIUM for date,INDEX-ONLY,Exact reference recovered — inspect edition/page structure only through permitted access.,https://article134-tech.github.io/lititzbmx-public-knowledge-register/objects/index.html#OBJ-0006
OBJ-0007,1997 Hoffman catalog — George model specification,Hoffman Bikes,1997,Catalog,1,EPH-0007,,RETAIN — unique source record,HIGH for reference existence; MEDIUM for interpreted model data,INDEX-ONLY,Open — record exact page and compare with other Hoffman catalogs.,https://article134-tech.github.io/lititzbmx-public-knowledge-register/objects/index.html#OBJ-0007
OBJ-0008,Tioga Rhino III frame advertisement,Tioga; Tange,1983 lead,Magazine advertisement,1,EPH-0008,,RETAIN — unique source record,LOW-MEDIUM,INDEX-ONLY,"Lead — recover exact thread, magazine issue and page.",https://article134-tech.github.io/lititzbmx-public-knowledge-register/objects/index.html#OBJ-0008
OBJ-0009,First Torker advertisement in BMX Weekly,Torker,December 1976,Magazine advertisement,2,EPH-0009 | EPH-0047,DUP-TORKER-FIRST-AD,MERGE identity; preserve source occurrence,MEDIUM-HIGH,INDEX-ONLY,Priority — locate the period issue and ad image lawfully.,https://article134-tech.github.io/lititzbmx-public-knowledge-register/objects/index.html#OBJ-0009
OBJ-0010,First Red Line magazine advertisement featuring John Palfreyman,Red Line; John Palfreyman,1970s; exact issue pending,Magazine advertisement,2,EPH-0010 | EPH-0037,DUP-REDLINE-FIRST-AD,MERGE identity; preserve source occurrence,HIGH for relationship; MEDIUM for bibliographic detail,INDEX-ONLY,"Priority — identify magazine, issue, page and product shown.",https://article134-tech.github.io/lititzbmx-public-knowledge-register/objects/index.html#OBJ-0010
OBJ-0011,JMC Racing Fliers and Price List,JMC Racing,Undated,Combined flyer / price-list set,1,EPH-0011,,RETAIN — unique source record,MEDIUM,INDEX-ONLY,"Priority — locate exact reference ID, count pages and transcribe only clearly labeled factual price fields.",https://article134-tech.github.io/lititzbmx-public-knowledge-register/objects/index.html#OBJ-0011
OBJ-0012,Vintage JMC Racing Equipment dealer's price list from Azusa collection,JMC Racing; Azusa collection,Undated vintage document; public post 2026,Dealer price list,1,EPH-0012,,RETAIN — unique source record,LOW-MEDIUM,INDEX-ONLY,Corroboration lead — do not merge with BMXMuseum set until directly compared.,https://article134-tech.github.io/lititzbmx-public-knowledge-register/objects/index.html#OBJ-0012
OBJ-0013,July 1979 JMC advertisement,JMC Racing,July 1979 issue; ran over multiple months,Magazine advertisement,1,EPH-0013,,RETAIN — unique source record,HIGH for bibliographic identity,INDEX-ONLY / PERMISSION REQUIRED,Included — index metadata; do not reproduce image or extended copy.,https://article134-tech.github.io/lititzbmx-public-knowledge-register/objects/index.html#OBJ-0013
OBJ-0014,April 1981 JMC advertisement,JMC Racing; Black Shadow; 3.1 XL,April 1981; appeared in multiple months,Magazine advertisement,1,EPH-0014,,RETAIN — unique source record,HIGH for source/date; MEDIUM-HIGH for summarized claims,INDEX-ONLY,Included — preserve claim-level evidence and recover page/issue details.,https://article134-tech.github.io/lititzbmx-public-knowledge-register/objects/index.html#OBJ-0014
OBJ-0015,1981 JMC Factory Team advertisement,JMC Racing; JMC Factory Team,1981,Team advertisement,1,EPH-0015,,RETAIN — unique source record,MEDIUM-HIGH,INDEX-ONLY,Included — identify publication/issue and riders shown before detailed extraction.,https://article134-tech.github.io/lititzbmx-public-knowledge-register/objects/index.html#OBJ-0015
OBJ-0016,JMC 3.1 XL naming-contest announcement,JMC Racing; Bicycle Harbor of Arizona; Matt Raymer,1980,Promotional announcement / naming contest,1,EPH-0016,,RETAIN — unique source record,HIGH for historical claim; LOW for object recovery,INDEX-ONLY,Lead — locate the ABA paper issue and announcement; do not imply an exact scan has been found.,https://article134-tech.github.io/lititzbmx-public-knowledge-register/objects/index.html#OBJ-0016
OBJ-0017,Dynamic BMX complete-bike price advertisement,GT; Dyno; Haro; Auburn,August 1987,Retailer advertisement / price list,1,EPH-0020,,RETAIN — unique source record,MEDIUM-HIGH for clear rows,INDEX-ONLY,INCLUDED — clear prices only,https://article134-tech.github.io/lititzbmx-public-knowledge-register/objects/index.html#OBJ-0017
OBJ-0018,Complete-bike mail-order price advertisement,GT; Dyno; Skyway; Haro,July 1987,Retailer advertisement / price list,1,EPH-0021,,RETAIN — unique source record,MEDIUM-HIGH for clear rows,INDEX-ONLY,INCLUDED — clear prices only,https://article134-tech.github.io/lititzbmx-public-knowledge-register/objects/index.html#OBJ-0018
